,OlfN,TotalN,Tokens,OAI,OSI
audience_NN,456,35849,"['audience_NN', 'audience_NNS', 'audience_NNP']",-6.296755241,11.15113201
attach_VB,283,22280,"['attach_VBN', 'attach_VBP', 'attach_VBD', 'attach_VBG', 'attach_VB', 'attach_VBZ']",-6.298803369,11.83936378
dead_JJ,266,20982,['dead_JJ'],-6.301582146,11.92873959
watch_VB,449,35494,"['watch_VBG', 'watch_VBZ', 'watch_VB', 'watch_VBN', 'watch_VBP', 'watch_VBD']",-6.304715913,11.17345039
just_RB,3698,295583,['just_RB'],-6.320674263,8.131492517
son_NN,397,31756,"['son_NN', 'son_NNS', 'son_NNP']",-6.321746384,11.35102683
far_RB,1570,125603,"['far_RB', 'far_RBR']",-6.321962554,9.367473182
ring_NN,166,13292,"['ring_NNS', 'ring_NNP', 'ring_NN']",-6.323231146,12.60898259
immediately_RB,467,37403,['immediately_RB'],-6.32358763,11.11674329
witness_NN,296,23869,"['witness_NNS', 'witness_NN', 'witness_NNP']",-6.333397139,11.77456866
article_NN,980,79041,"['article_NN', 'article_NNS', 'article_NNPS', 'article_NNP']",-6.33367564,10.04738409
shift_NN,242,19535,"['shift_NNS', 'shift_NN', 'shift_NNP']",-6.334910398,12.06515879
right_RB,514,41699,['right_RB'],-6.342100617,10.97839748
others_NN,1461,118588,['others_NNS'],-6.342858042,9.471281563
example_NN,2176,176656,"['example_NN', 'example_NNS', 'example_NNP']",-6.343120383,8.896559185
gun_NN,213,17299,"['gun_NN', 'gun_NNS', 'gun_NNP']",-6.343691402,12.24931241
many_JJ,5019,408899,['many_JJ'],-6.348200778,7.690837795
whole_JJ,649,52919,['whole_JJ'],-6.349423511,10.64194736
enemy_NN,204,16640,"['enemy_NN', 'enemy_NNS', 'enemy_NNP']",-6.349942471,12.31159668
black_JJ,571,46656,['black_JJ'],-6.352428069,10.82667509
enough_JJ,394,32278,['enough_JJ'],-6.35621175,11.36197021
quite_RB,695,56993,['quite_RB'],-6.357627947,10.54315286
baby_NN,397,32560,"['baby_NN', 'baby_NNS', 'baby_NNP']",-6.357817882,11.35102683
once_RB,1268,104838,['once_RB'],-6.369463181,9.675682996
menu_NN,200,16552,"['menu_NN', 'menu_NNP', 'menu_NNS']",-6.37086174,12.34016584
soul_NN,183,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.371615989,12.46832219
brother_NN,296,24579,"['brother_NN', 'brother_NNS', 'brother_NNP', 'brother_NNPS']",-6.375685235,11.77456866
